# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220731-20220806
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/finance/certificates/,12,91.67%,11,33.33%,1.58,00:01:10,0.00%,0,$0.00
daniels.du.edu/marketing/graduate-certificates/,12,25.00%,3,8.33%,2.17,00:06:55,8.33%,1,$0.00
daniels.du.edu/accountancy/faculty-staff/,11,54.55%,6,27.27%,1.73,00:01:25,0.00%,0,$0.00
daniels.du.edu/directory/ana-babic-rosario/,11,100.00%,11,63.64%,1.00,00:00:06,0.00%,0,$0.00
daniels.du.edu/directory/lijia-karen-xie/,11,63.64%,7,0.00%,1.09,00:00:22,0.00%,0,$0.00
daniels.du.edu/hospitality-management/degree-requirements/,11,63.64%,7,9.09%,2.09,00:03:47,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,11,72.73%,8,27.27%,2.09,00:03:27,9.09%,1,$0.00
daniels.du.edu/accountancy/student-experience/,10,90.00%,9,30.00%,1.00,00:02:54,0.00%,0,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,10,90.00%,9,10.00%,1.00,00:00:22,0.00%,0,$0.00
daniels.du.edu/directory/ali-besharat/,10,60.00%,6,0.00%,1.50,00:01:04,0.00%,0,$0.00
daniels.du.edu/directory/donald-bergh/,10,80.00%,8,10.00%,1.20,00:03:30,0.00%,0,$0.00
daniels.du.edu/directory/vivek-choudhury/,10,70.00%,7,10.00%,1.10,00:02:01,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,10,70.00%,7,20.00%,1.70,00:03:41,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/sprints/sprint-schedule/,10,30.00%,3,10.00%,1.40,00:06:01,0.00%,0,$0.00
daniels.du.edu/events/,10,40.00%,4,20.00%,4.70,00:08:12,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/digital-marketing/,10,60.00%,6,40.00%,1.10,00:00:15,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/finance-non-financial-managers/,10,70.00%,7,40.00%,1.20,00:03:07,0.00%,0,$0.00
daniels.du.edu/executive-phd/curriculum/,10,60.00%,6,0.00%,3.80,00:04:01,10.00%,1,$0.00
daniels.du.edu/executive-phd/student-profiles/,10,60.00%,6,0.00%,1.90,00:02:33,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/events/,10,80.00%,8,30.00%,2.70,00:01:36,0.00%,0,$0.00
daniels.du.edu/programs/,10,50.00%,5,0.00%,3.70,00:08:52,10.00%,1,$0.00
daniels.du.edu/voe/,10,60.00%,6,40.00%,1.30,00:02:01,0.00%,0,$0.00
daniels.du.edu/voe/voe-podcast/,10,50.00%,5,30.00%,3.00,00:08:26,0.00%,0,$0.00
daniels.du.edu/blog/difference-professional-executive-mba/,9,77.78%,7,11.11%,1.00,00:00:09,0.00%,0,$0.00
,"5,655",65.11%,"3,682",20.12%,2.18,00:02:48,1.68%,95,$0.00

Day Index,Sessions
7/31/22,557
8/1/22,951
8/2/22,"1,079"
8/3/22,943
8/4/22,921
8/5/22,730
8/6/22,474
,"5,655"
