# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220417-20220423
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-startup-costs-and-forecasting/,43,67.44%,29,25.58%,1.72,00:01:58,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,42,95.24%,40,14.29%,1.12,00:02:23,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,42,59.52%,25,2.38%,2.36,00:03:41,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,41,92.68%,38,9.76%,1.05,00:00:42,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,40,62.50%,25,12.50%,1.58,00:03:25,0.00%,0,$0.00
daniels.du.edu/blog/increasing-empathy-through-technology/,39,56.41%,22,51.28%,1.00,00:00:13,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,39,69.23%,27,10.26%,1.87,00:03:22,0.00%,0,$0.00
daniels.du.edu/blog/eleven-questions-with-joshua-ross-cryptocurrency-blockchain/,38,63.16%,24,31.58%,1.11,00:02:41,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-personal-brand-speaker-series/,37,56.76%,21,8.11%,1.59,00:00:57,0.00%,0,$0.00
daniels.du.edu/accountancy/accountancy-landing/,34,97.06%,33,17.65%,1.00,00:00:02,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bia-landing/?utm_licrid=160868864,34,55.88%,19,100.00%,1.00,00:00:00,0.00%,0,$0.00
daniels.du.edu/finance/finance-landing/,34,91.18%,31,29.41%,1.29,00:01:39,0.00%,0,$0.00
daniels.du.edu/admit-weekend/,33,42.42%,14,6.06%,1.52,00:01:53,0.00%,0,$0.00
daniels.du.edu/blog/du-program-sprouts-new-opportunities-for-refugees/,33,69.70%,23,39.39%,1.82,00:01:13,0.00%,0,$0.00
daniels.du.edu/management/management-landing/,33,96.97%,32,21.21%,1.00,00:00:02,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,33,33.33%,11,6.06%,2.82,00:03:49,0.00%,0,$0.00
daniels.du.edu/international-business/,32,62.50%,20,18.75%,1.59,00:02:25,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,32,75.00%,24,6.25%,1.78,00:02:58,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,31,58.06%,18,6.45%,1.90,00:02:46,3.23%,1,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,30,96.67%,29,23.33%,1.10,00:01:50,0.00%,0,$0.00
daniels.du.edu/blog/wealth-worth-and-well-being/,30,66.67%,20,16.67%,2.40,00:04:55,0.00%,0,$0.00
daniels.du.edu/directory/,30,26.67%,8,0.00%,3.57,00:05:27,0.00%,0,$0.00
daniels.du.edu/executive-education/,29,58.62%,17,24.14%,4.48,00:03:52,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,29,79.31%,23,62.07%,1.34,00:01:19,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/,29,24.14%,7,65.52%,1.59,00:01:00,0.00%,0,$0.00
daniels.du.edu/request-info-form/,29,51.72%,15,6.90%,2.14,00:02:25,3.45%,1,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,28,71.43%,20,25.00%,1.29,00:01:25,3.57%,1,$0.00
daniels.du.edu/undergraduate-programs/,28,53.57%,15,14.29%,2.71,00:02:08,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,27,96.30%,26,96.30%,1.04,00:00:26,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/masters/?utm_licrid=160868864,27,66.67%,18,96.30%,1.07,00:00:04,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,26,100.00%,26,76.92%,1.15,00:00:52,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/garage/,26,34.62%,9,11.54%,1.27,00:02:32,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-startup-marketing-101/,25,52.00%,13,28.00%,1.28,00:01:18,0.00%,0,$0.00
daniels.du.edu/blog/siblings-build-for-the-future/,25,60.00%,15,44.00%,1.08,00:00:40,0.00%,0,$0.00
daniels.du.edu/marketing/marketing-landing/,25,80.00%,20,40.00%,1.00,00:00:03,0.00%,0,$0.00
daniels.du.edu/accountancy/,24,58.33%,14,0.00%,2.62,00:02:13,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,24,70.83%,17,20.83%,1.38,00:03:00,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,24,12.50%,3,0.00%,1.21,00:07:00,0.00%,0,$0.00
daniels.du.edu/about/,23,21.74%,5,4.35%,2.04,00:04:28,4.35%,1,$0.00
daniels.du.edu/blog/executive-education-mental-health-awareness/,23,73.91%,17,30.43%,1.04,00:00:50,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/certificates/,23,78.26%,18,4.35%,3.52,00:09:29,13.04%,3,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,22,95.45%,21,18.18%,1.18,00:01:27,0.00%,0,$0.00
daniels.du.edu/directory/stephen-haag/,22,59.09%,13,13.64%,1.23,00:01:02,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,22,59.09%,13,27.27%,2.77,00:01:44,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,21,71.43%,15,4.76%,1.29,00:00:31,0.00%,0,$0.00
daniels.du.edu/burns-school/rebe-landing/?utm_licrid=143457464,20,60.00%,12,95.00%,1.05,00:00:28,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/sprints/,20,50.00%,10,25.00%,2.10,00:02:06,0.00%,0,$0.00
daniels.du.edu/race-and-case/,20,65.00%,13,30.00%,1.85,00:01:39,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/?utm_licrid=143457464,19,94.74%,18,89.47%,1.11,00:00:28,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,19,84.21%,16,10.53%,1.47,00:03:23,0.00%,0,$0.00
daniels.du.edu/management/bachelors/,19,36.84%,7,5.26%,1.95,00:02:53,0.00%,0,$0.00
daniels.du.edu/blog/,18,0.00%,0,0.00%,4.83,00:15:46,0.00%,0,$0.00
daniels.du.edu/danielsparking/,18,16.67%,3,5.56%,3.72,00:05:59,0.00%,0,$0.00
daniels.du.edu/directory/shahram-amini/,18,61.11%,11,16.67%,1.00,00:01:50,0.00%,0,$0.00
daniels.du.edu/management/management-landing/?utm_licrid=160870504,18,77.78%,14,100.00%,1.00,00:00:00,0.00%,0,$0.00
daniels.du.edu/blog/ask-the-experts-the-pros-cons-of-staycations/,17,100.00%,17,5.88%,1.00,00:01:59,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,17,88.24%,15,11.76%,1.00,00:00:57,0.00%,0,$0.00
daniels.du.edu/blog/wake-up-and-innovate/,17,82.35%,14,41.18%,1.35,00:01:27,0.00%,0,$0.00
,"12,657",67.35%,"8,525",42.05%,1.59,00:01:40,1.13%,143,$0.00

Day Index,Sessions
4/17/22,"1,079"
4/18/22,"1,985"
4/19/22,"1,751"
4/20/22,"2,232"
4/21/22,"2,143"
4/22/22,"1,707"
4/23/22,"1,760"
,"12,657"
